店名,地址
普宁中华新城,中华新城餐厅（流沙公园正门对面）
黄岐,"黄歧山大道以东,环北路以南易初莲花超一、二层店面"
临江,"临江南路以南、榕华大道以东,江南新城二期易初莲花购物中心首层"
池尾,广达路美佳乐购物广场一、二层
普宁服装城,国际服装城客运站大楼南一、二层店面
普宁吉祥里,占陇镇镇区广汕公路南侧汇润-吉祥里商业楼正面商铺
揭阳临江北,仁港商业街
普宁商品城DT,普宁国际商品城南侧12栋铺面
进贤餐厅,进贤步行街E栋一层
美佳乐DT,洪阳镇城徽往揭阳方向50米处美佳乐购物广场W001商铺一、二层
普宁太阳城餐厅,流沙南街道光草洋村城南大道南侧文竹路西侧万盛花园一层商铺第三十六、三十七间
环城北路,L1C-002、L1MC-001、L1MC-002号商铺流沙市区环城北路南侧广达北路东侧星河COCO City商场L1C-001、
潮汕机场,潮汕机场航站楼商铺编号为一层D03
葵和大道,惠城镇南门东路一号文昌大酒店首层商铺
人民广场,城中心片上围路北侧区人民广场西侧1号铺之02单元肯德基餐厅
阳美路,阳美路阳美国际大酒店东侧1号铺
潮汕机场二,潮汕机场航站楼商铺编号为三层B16
梅兜路,梅兜路榕申豪苑中基国际影城南侧1至3号铺
