id,danjia,zongjia,quyu,xiaoqu,huxing,louceng,jianmian,jiegou,taoneimianji,jianzhuleixing,chaoxiang,jianzhujiegou,zhuangxiu,tihubili,dianti,chanquan,guapaishijian,jiaoyiquanshu,shangcijiaoyi,fangwuyongtu,fangwunianxian,chanquansuoshu,diyaxinxi,create_time
108400695541,32365,335万,荔湾 滘口,新世界逸彩庭园,3室2厅1厨2卫,中楼层 (共19层),103.51㎡,平层,82.44㎡,塔楼,东南,钢混结构,简装,两梯八户,有,70年,2019-09-22,商品房,2009-06-10,普通住宅,满五年,共有,无抵押,2020-01-16 15:08:42
108400770180,63489,546万,越秀 东山口,寺贝楼,3室2厅1厨1卫,中楼层 (共8层),86㎡,平层,77.54㎡,塔楼,南 北,钢混结构,精装,一梯五户,无,70年,2019-10-27,商品房,2013-12-30,普通住宅,满五年,非共有,无抵押,2020-01-16 15:08:44
108400543608,23362,159万,白云 机场路,和平大酒店,3室1厅1厨1卫,中楼层 (共9层),68.06㎡,平层,暂无数据,塔楼,东,钢混结构,精装,一梯五户,无,70年,2019-07-12,商品房,2016-01-07,普通住宅,满两年,非共有,无抵押,2020-01-16 15:08:45
108400885983,28721,138万,海珠 滨江中,前进路基立下道北街,2室1厅1厨1卫,高楼层 (共7层),48.05㎡,平层,43.41㎡,塔楼,南,钢混结构,其他,一梯三户,无,70年,2019-12-18,商品房,2015-08-05,普通住宅,满两年,非共有,无抵押,2020-01-16 15:08:46
108400498175,27620,213万,黄埔 科学城,奥园春晓,2室2厅1厨2卫,高楼层 (共18层),77.12㎡,平层,61.73㎡,塔楼,南,钢混结构,精装,两梯四户,有,70年,2019-06-20,商品房,2017-10-30,普通住宅,满两年,共有,有抵押 59万元 业主自还,2020-01-16 15:08:47
108400669014,19429,170万,番禺 桥南,朗陶居,4室1厅0厨1卫,中楼层 (共7层),87.5㎡,平层,78.03㎡,塔楼,北,钢混结构,简装,一梯四户,无,70年,2019-09-09,商品房,2019-04-01,普通住宅,未满两年,非共有,无抵押,2020-01-16 15:08:49
108400138546,13397,152万,增城 白江,新康花园,3室2厅1厨2卫,低楼层 (共8层),113.46㎡,平层,104.79㎡,板楼,东南,钢混结构,简装,一梯两户,无,70年,2018-11-10,商品房,2018-11-17,普通住宅,未满两年,共有,有抵押 50万元 业主自还,2020-01-16 15:08:50
108400853045,26428,162万,白云 马务,顺景花园,3室1厅1厨2卫,低楼层 (共9层),61.3㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯七户,无,70年,2019-12-04,商品房,2017-07-18,普通住宅,满两年,非共有,无抵押,2020-01-16 15:08:51
108400572895,22153,275万,番禺 桥南,华荟南景园,3室2厅1厨2卫,低楼层 (共16层),124.14㎡,平层,98.52㎡,塔楼,北,钢混结构,精装,两梯四户,有,70年,2019-07-26,商品房,2015-07-30,普通住宅,满两年,非共有,无抵押,2020-01-16 15:08:52
108400517292,40255,475万,番禺 雅居乐,广州雅居乐花园剑桥郡,3室2厅1厨2卫,中楼层 (共32层),118㎡,平层,97.44㎡,塔楼,东北,钢混结构,精装,两梯四户,有,70年,2019-06-30,商品房,2016-03-10,普通住宅,满两年,共有,无抵押,2020-01-16 15:08:54
108400846527,25637,310万,南沙 金洲,越秀滨海悦城,3室2厅1厨2卫,中楼层 (共31层),120.92㎡,平层,99.14㎡,塔楼,南,钢混结构,毛坯,三梯六户,有,70年,2019-12-02,商品房,2017-07-25,普通住宅,满两年,非共有,无抵押,2020-01-16 15:08:55
108400850322,33975,549万,白云 永泰,依云小镇,5室2厅1厨2卫,高楼层 (共18层),161.59㎡,平层,132.9㎡,塔楼,南,钢混结构,精装,两梯两户,有,70年,2019-12-03,商品房,2007-10-07,普通住宅,满五年,非共有,无抵押,2020-01-16 15:08:56
108400754666,19987,180万,增城 新塘北,锦绣天伦花园,3室1厅1厨1卫,高楼层 (共32层),90.06㎡,平层,74.88㎡,塔楼,南,钢混结构,毛坯,两梯六户,有,70年,2019-10-20,商品房,2017-04-12,普通住宅,满两年,非共有,有抵押 30万元 招商银行,2020-01-16 15:08:57
108400821453,23612,170万,海珠 滨江西,滨江西路,2室1厅1厨1卫,中楼层 (共5层),72㎡,平层,暂无数据,塔楼,南,钢混结构,其他,一梯四户,无,70年,2019-11-20,商品房,2016-01-12,普通住宅,满两年,非共有,有抵押,2020-01-16 15:08:58
108400907574,35119,238万,海珠 赤岗,金丰花园,2室2厅1厨1卫,低楼层 (共9层),67.77㎡,平层,63.05㎡,塔楼,南,钢混结构,简装,一梯四户,无,70年,2019-12-28,商品房,2000-08-09,普通住宅,满五年,非共有,无抵押,2020-01-16 15:08:59
108400070082,35488,330万,黄埔 科学城,万科新里程,3室2厅1厨1卫,高楼层 (共25层),92.99㎡,平层,74.75㎡,塔楼,东南,钢混结构,精装,两梯六户,有,70年,2018-09-19,商品房,2011-08-09,普通住宅,满五年,非共有,有抵押 10万元,2020-01-16 15:09:00
108400655689,67760,1525万,天河 珠江新城东,粤海丽江花园,4室2厅1厨3卫,低楼层 (共44层),225.06㎡,平层,174.21㎡,塔楼,东南,钢混结构,精装,两梯两户,有,70年,2019-09-03,商品房,2019-09-12,普通住宅,未满两年,非共有,有抵押 600万元,2020-01-16 15:09:02
