华莱士·全鸡汉堡（仙桥店）,汉堡,170568933,329674355767016353789454960452192878330_a170568933_c0_e5459802778350473753
沃士加（仙桥店）,西餐,41011064,329674355767016353789454960452192878330_a41011064_c1_e5459802778350473753
Annie和她的小伙伴,西餐,98196214,112878875198594555302030475904819747906_a98196214_c2_e5459802778350473753_v4892350551625392156__46
忠诚饼包屋（仙桥店）,糕点店,41110412,329674355767016353789454960452192878330_a41110412_c3_e5459802778350473753
特种冰（仙桥店）,奶茶/果汁,67563553,329674355767016353789454960452192878330_a67563553_c4_e5459802778350473753
洪信美粿面馆,面条,193036785,329674355767016353789454960452192878330_a193036785_c5_e5459802778350473753
牛皇叔（东方康宁店）,综合自助,42045920,329674355767016353789454960452192878330_a42045920_c6_e5459802778350473753
樱之谷日式烤肉,日式烧烤/烤肉,195153771,112878875198594555302030475904819747906_a195153771_c7_e5459802778350473753_v4892350551625392156__462
点点私厨,日本菜,51702946,329674355767016353789454960452192878330_a51702946_c8_e5459802778350473753
华莱士·全鸡汉堡（上义店）,汉堡,169025896,329674355767016353789454960452192878330_a169025896_c9_e5459802778350473753
贝多分卜卜贝,特色火锅,162775028,329674355767016353789454960452192878330_a162775028_c10_e5459802778350473753
大食八（榕城店）,饺子,178763150,329674355767016353789454960452192878330_a178763150_c11_e5459802778350473753
愿者上钩（揭阳东山店）,烤鱼,1193271759,112878875198594555302030475904819747906_a1193271759_c12_e5459802778350473753_v4892350551625392156__355
老地方鲜鱼馆（榕城店）,酸菜鱼/水煮鱼,41974222,329674355767016353789454960452192878330_a41974222_c13_e5459802778350473753
哇烤韩式自助烤肉（江南新城店）,烤肉自助,40295948,329674355767016353789454960452192878330_a40295948_c14_e5459802778350473753
来个比萨,披萨,98400621,329674355767016353789454960452192878330_a98400621_c0_e989314424501054615_nareaid12388
Delizza德利萨（金城店）,披萨,90121650,329674355767016353789454960452192878330_a90121650_c1_e989314424501054615_nareaid12388
陈氏鸭脚,小吃快餐,65810634,329674355767016353789454960452192878330_a65810634_c2_e989314424501054615_nareaid12388
欧吉（金城店）,奶茶/果汁,5687603,329674355767016353789454960452192878330_a5687603_c3_e989314424501054615_nareaid12388
aita爱塔蛋糕,蛋糕,41458813,329674355767016353789454960452192878330_a41458813_c4_e989314424501054615_nareaid12388
YIBEIZIcake伊贝紫（金城店）,蛋糕,93163502,329674355767016353789454960452192878330_a93163502_c5_e989314424501054615_nareaid12388
忠诚饼包屋（金城形象店）,蛋糕,95384118,329674355767016353789454960452192878330_a95384118_c6_e989314424501054615_nareaid12388
鲜果缘鲜榨果汁（金城步行街总店）,奶茶/果汁,6395545,329674355767016353789454960452192878330_a6395545_c7_e989314424501054615_nareaid12388
华莱士·全鸡汉堡（仙桥店）,汉堡,170568933,329674355767016353789454960452192878330_a170568933_c0_e6101894099840258136
沃士加（仙桥店）,西餐,41011064,329674355767016353789454960452192878330_a41011064_c1_e6101894099840258136
Annie和她的小伙伴,西餐,98196214,112878875198594555302030475904819747906_a98196214_c2_e6101894099840258136_v4892351099349170592__46
忠诚饼包屋（仙桥店）,糕点店,41110412,329674355767016353789454960452192878330_a41110412_c3_e6101894099840258136
特种冰（仙桥店）,奶茶/果汁,67563553,329674355767016353789454960452192878330_a67563553_c4_e6101894099840258136
洪信美粿面馆,面条,193036785,329674355767016353789454960452192878330_a193036785_c5_e6101894099840258136
