"code";"name";"jinkai";"chengjiaoliang";"zhenfu";"zuigao";"chengjiaoe";"huanshou";"zuidi";"zuoshou";"liutongshizhi";"create_time"
"000001";"平安银行";"16.79";"85943912.00";"2.446";"16.86";"1424889200.00";"0.443";"16.45";"16.76";"320583030000.000";"2020-01-15 16:22:21"
"000002";"万  科Ａ";"31.30";"67294431.00";"3.281";"31.49";"2071443600.00";"0.693";"30.46";"31.39";"296215530000.000";"2020-01-15 16:22:22"
"000004";"国农科技";"23.02";"1454301.00";"2.913";"23.02";"32867950.00";"1.761";"22.35";"23.00";"1862733400.000";"2020-01-15 16:22:22"
"000005";"世纪星源";"3.20";"8491784.00";"2.188";"3.20";"26905170.00";"0.803";"3.13";"3.20";"3353689600.000";"2020-01-15 16:22:22"
"000006";"深振业Ａ";"5.50";"8929387.00";"2.182";"5.51";"48605650.00";"0.662";"5.39";"5.50";"7375244600.000";"2020-01-15 16:22:22"
"000007";"全新好";"9.33";"3493300.00";"2.251";"9.41";"32413303.00";"1.131";"9.20";"9.33";"2876306300.000";"2020-01-15 16:22:22"
"000008";"神州高铁";"3.79";"25806733.00";"2.381";"3.79";"96258801.00";"0.968";"3.70";"3.78";"9888253400.000";"2020-01-15 16:22:23"
"000009";"中国宝安";"6.60";"139218570.00";"5.037";"6.64";"899959000.00";"5.473";"6.30";"6.75";"16458625000.000";"2020-01-15 16:22:23"
"000010";"*ST美丽";"3.57";"2753801.00";"3.343";"3.69";"9999552.30";"0.528";"3.57";"3.59";"1900420300.000";"2020-01-15 16:22:23"
"000011";"深物业A";"9.43";"1817555.00";"1.697";"9.48";"16999785.00";"0.345";"9.32";"9.43";"4916973600.000";"2020-01-15 16:22:23"
"000012";"南  玻Ａ";"5.04";"21549962.00";"2.559";"5.06";"107257324.00";"1.101";"4.93";"5.08";"9709461600.000";"2020-01-15 16:22:23"
"000014";"沙河股份";"9.73";"1249000.00";"2.060";"9.78";"12033005.00";"0.619";"9.58";"9.71";"1940403900.000";"2020-01-15 16:22:24"
"000016";"深康佳Ａ";"4.51";"83059741.00";"7.726";"4.86";"390350120.00";"5.202";"4.51";"4.53";"7503899200.000";"2020-01-15 16:22:24"
"000017";"深中华A";"4.60";"6018300.00";"1.944";"4.60";"27326488.00";"1.986";"4.51";"4.63";"1369474200.000";"2020-01-15 16:22:24"
"000019";"深粮控股";"6.36";"3538030.00";"1.884";"6.36";"22218018.00";"0.851";"6.24";"6.37";"2603661700.000";"2020-01-15 16:22:24"
"000020";"深华发Ａ";"10.95";"1319112.00";"2.557";"11.00";"14253454.00";"0.728";"10.72";"10.95";"1952962900.000";"2020-01-15 16:22:25"
"000021";"深科技";"14.93";"71212221.00";"5.333";"15.08";"1039938570.00";"4.847";"14.28";"15.00";"21481562000.000";"2020-01-15 16:22:25"
"000023";"深天地Ａ";"13.33";"1976586.00";"2.626";"13.38";"25951490.00";"1.425";"13.03";"13.33";"1819094300.000";"2020-01-15 16:22:25"
"000025";"特  力Ａ";"21.56";"4477917.00";"2.226";"21.63";"95225814.00";"1.140";"21.15";"21.56";"8354394900.000";"2020-01-15 16:22:26"
"000026";"飞亚达";"11.75";"18205943.00";"4.495";"11.87";"210568000.00";"5.104";"11.34";"11.79";"4176866700.000";"2020-01-15 16:22:26"
"000027";"深圳能源";"6.25";"13358654.00";"2.416";"6.27";"82302446.00";"0.337";"6.12";"6.21";"24341978000.000";"2020-01-15 16:22:26"
"000028";"国药一致";"48.92";"1215630.00";"1.931";"49.46";"59534875.00";"0.331";"48.52";"48.68";"17886564000.000";"2020-01-15 16:22:26"
"000029";"深深房Ａ";"";"0.00";"";"";"0.00";"0.000";"";"10.97";"9781510200.000";"2020-01-15 16:22:26"
"000030";"富奥股份";"4.99";"4778037.00";"1.603";"4.99";"23576553.00";"0.272";"4.91";"4.99";"8693811500.000";"2020-01-15 16:22:27"
"000031";"大悦城";"7.15";"12553076.00";"1.813";"7.19";"89152396.00";"0.692";"7.06";"7.17";"12841158500.000";"2020-01-15 16:22:27"
"000032";"深桑达Ａ";"";"0.00";"";"";"0.00";"0.000";"";"15.82";"6506507500.000";"2020-01-15 16:22:27"
"000034";"神州数码";"21.50";"41298551.00";"11.702";"23.75";"934916170.00";"8.507";"21.22";"21.62";"11510634600.000";"2020-01-15 16:22:27"
"000035";"中国天楹";"5.93";"13197403.00";"2.174";"5.95";"77680626.00";"1.030";"5.82";"5.98";"7507184500.000";"2020-01-15 16:22:27"
"000036";"华联控股";"4.27";"7759652.00";"2.098";"4.28";"32831056.00";"0.526";"4.19";"4.29";"6268849000.000";"2020-01-15 16:22:28"
