SimpName,EngName,TradName,price,birthday,weight,height,IdioFoot,nationality,contract
齐内丁·齐达内,Zinedine Zidane,施丹,万英镑,1972-06-23,78,185,,法国,
阿利奥拉,Alphonse Areola,阿利奧拉,1575万英镑,1993-02-27,88,195,右脚,法国、菲律宾,2020-06-30
西博特·库尔图瓦,Thibaut Courtois,高圖爾斯,4950万英镑,1992-05-11,80,199,左脚,比利时,2024-06-30
塞尔吉奥·拉莫斯,Sergio Ramos Garcia,沙治奧拉莫斯,2250万英镑,1986-03-30,73,184,右脚,西班牙,2021-06-30
拉斐尔.瓦拉内,Raphael Varane,華拿尼,6300万英镑,1993-04-25,85,191,右脚,法国,2022-06-30
马塞洛·维埃拉·达·席尔瓦·儒尼奥尔,Marcelo Vieira da Silva Junior,馬些路,2250万英镑,1988-05-12,75,174,左脚,巴西、西班牙,2022-06-30
卡瓦哈尔,Daniel Carvajal Ramos,D.卡華積,4500万英镑,1992-01-11,71,173,右脚,西班牙,2022-06-30
纳乔·费尔南德斯,Jose Ignacio Fernandez Iglesias Nacho,F.拿祖,2250万英镑,1990-01-18,74,180,右脚,西班牙,2020-06-30
弗兰德.门迪,Ferland Mendy,費蘭特文迪,2700万英镑,1995-06-08,,180,左脚,法国、塞内加尔,2025-06-30
阿尔瓦罗·奥德里奥佐拉,Alvaro Odriozola Arzallus,阿爾瓦羅·奧德里奧佐拉,2250万英镑,1995-12-14,,176,右脚,西班牙,2024-06-30
埃德尔.米利唐,Eder Gabriel Militao,艾達米利圖,4500万英镑,1998-01-18,79,186,右脚,巴西,2025-06-30
艾登·阿扎尔,Eden Hazard,夏薩特,13500万英镑,1991-01-07,69,175,双脚,比利时,2024-06-30
卢卡·莫德里奇,Luka Modric,摩特歷,1800万英镑,1985-09-09,65,172,双脚,克罗地亚,2020-06-30
加里斯 贝尔,Gareth Bale,G.巴利,5400万英镑,1989-07-16,74,185,左脚,威尔士,2022-06-30
伊斯科,Francisco R. Alarcon SuarezIsco,伊斯高,5400万英镑,1992-04-21,79,176,右脚,西班牙,2022-06-30
托尼·克罗斯,Toni Kroos,卻奧斯,5400万英镑,1990-01-04,68,183,双脚,德国,2023-06-30
J·罗德里格斯,James David Rodriguez,占士洛迪古斯,4500万英镑,1991-07-12,74,181,左脚,哥伦比亚、西班牙,2021-06-30
卡塞米罗,Carlos Henrique CasimiroCasemiro,C.卡斯米路,5400万英镑,1992-02-23,80,185,右脚,巴西,2021-06-30
卢卡斯,Lucas Vazquez Iglesias,盧卡斯華斯基斯,2250万英镑,1991-07-01,,173,右脚,西班牙,2021-06-30
马尔科-阿森西奥,Marco Asensio Willemsen,阿辛斯奧,5400万英镑,1996-01-21,,182,左脚,西班牙、荷兰,2023-06-30
维尼修斯,Vinicius Jose Paixao de Oliveira Junior,雲尼施奧斯,6300万英镑,2000-07-12,,176,右脚,巴西,2025-06-30
B.迪亚兹,Brahim Diaz,巴謙戴亞斯,1530万英镑,1999-08-03,,171,双脚,西班牙、摩洛哥,2025-06-30
费德里科.巴尔韦德,Santiago Federico Valverde Dipetta,F.華維迪,1800万英镑,1998-07-22,,182,右脚,乌拉圭、西班牙,2021-06-30
罗德里戈,Rodrygo Silva De Goes,羅德裏戈,3600万英镑,2001-01-09,,174,右脚,巴西,2025-06-30
雷尼尔,Reinier Jesus Carvalho,雷尼爾,2250万英镑,2002-01-19,,185,右脚,巴西,2021-12-31
卡里姆·本泽马,Karim Benzema,賓森馬,3600万英镑,1987-12-19,74,185,双脚,法国、阿尔及利亚,2021-06-30
卢卡-约维奇,Luka Jovic,L.祖域,5400万英镑,1997-12-23,,182,双脚,塞尔维亚,2025-06-30
马里亚诺,Mariano Diaz Mejia,馬利安奴,1800万英镑,1993-08-01,79,180,右脚,西班牙、西班牙,2023-06-30
瑟蒂恩,Quique Setien,瑟蒂恩,万英镑,1958-09-27,,185,,西班牙,
